start,end,reason,detector,n_points,scope,formulation
2026-04-23 12:10:00,2026-04-23 12:10:00,SHUTDOWN,causal_mode_v1,1,fit_and_advice,исключены данные с 2026-04-23 12:10:00 по 2026-04-23 12:10:00 по причине: установка остановлена (режим вне рабочего)
2026-04-23 12:20:00,2026-04-23 12:40:00,TRANSIENT,causal_mode_v1,3,fit_and_advice,исключены данные с 2026-04-23 12:20:00 по 2026-04-23 12:40:00 по причине: переходный режим после пуска
2026-04-23 12:50:00,2026-04-24 00:40:00,SHUTDOWN,causal_mode_v1,72,fit_and_advice,исключены данные с 2026-04-23 12:50:00 по 2026-04-24 00:40:00 по причине: установка остановлена (режим вне рабочего)
2026-04-24 00:50:00,2026-04-24 01:00:00,TRANSIENT,causal_mode_v1,2,fit_and_advice,исключены данные с 2026-04-24 00:50:00 по 2026-04-24 01:00:00 по причине: переходный режим после пуска
2026-04-24 01:10:00,2026-04-24 01:30:00,SHUTDOWN,causal_mode_v1,3,fit_and_advice,исключены данные с 2026-04-24 01:10:00 по 2026-04-24 01:30:00 по причине: установка остановлена (режим вне рабочего)
2026-04-24 01:40:00,2026-04-24 01:40:00,TRANSIENT,causal_mode_v1,1,fit_and_advice,исключены данные с 2026-04-24 01:40:00 по 2026-04-24 01:40:00 по причине: переходный режим после пуска
2026-04-24 01:50:00,2026-04-24 05:10:00,SHUTDOWN,causal_mode_v1,21,fit_and_advice,исключены данные с 2026-04-24 01:50:00 по 2026-04-24 05:10:00 по причине: установка остановлена (режим вне рабочего)
2026-04-24 05:20:00,2026-04-24 06:00:00,TRANSIENT,causal_mode_v1,5,fit_and_advice,исключены данные с 2026-04-24 05:20:00 по 2026-04-24 06:00:00 по причине: переходный режим после пуска
2026-04-24 06:10:00,2026-04-25 09:10:00,SHUTDOWN,causal_mode_v1,163,fit_and_advice,исключены данные с 2026-04-24 06:10:00 по 2026-04-25 09:10:00 по причине: установка остановлена (режим вне рабочего)
2026-04-25 09:20:00,2026-04-25 16:20:00,TRANSIENT,causal_mode_v1,43,fit_and_advice,исключены данные с 2026-04-25 09:20:00 по 2026-04-25 16:20:00 по причине: переходный режим после пуска
2026-04-25 16:30:00,2026-04-26 03:10:00,SHUTDOWN,causal_mode_v1,65,fit_and_advice,исключены данные с 2026-04-25 16:30:00 по 2026-04-26 03:10:00 по причине: установка остановлена (режим вне рабочего)
2026-04-26 03:20:00,2026-04-26 22:10:00,TRANSIENT,causal_mode_v1,114,fit_and_advice,исключены данные с 2026-04-26 03:20:00 по 2026-04-26 22:10:00 по причине: переходный режим после пуска
2026-05-17 05:30:00,2026-05-17 11:10:00,TRANSIENT,causal_mode_v1,35,fit_and_advice,исключены данные с 2026-05-17 05:30:00 по 2026-05-17 11:10:00 по причине: переходный режим после пуска
2026-05-17 11:00:00,2026-05-18 07:00:00,PAK_FLATLINE,causal_run_length,121,pak_measurement,исключены данные с 2026-05-17 11:00:00 по 2026-05-18 07:00:00 по причине: зависание поточного анализатора (флэтлайн)
2026-05-17 11:20:00,2026-05-17 12:00:00,SHUTDOWN,causal_mode_v1,5,fit_and_advice,исключены данные с 2026-05-17 11:20:00 по 2026-05-17 12:00:00 по причине: установка остановлена (режим вне рабочего)
2026-05-17 12:10:00,2026-05-18 13:40:00,TRANSIENT,causal_mode_v1,154,fit_and_advice,исключены данные с 2026-05-17 12:10:00 по 2026-05-18 13:40:00 по причине: переходный режим после пуска
2026-06-16 13:40:00,2026-06-16 21:40:00,PAK_FLATLINE,causal_run_length,49,pak_measurement,исключены данные с 2026-06-16 13:40:00 по 2026-06-16 21:40:00 по причине: зависание поточного анализатора (флэтлайн)
2026-06-16 14:00:00,2026-06-17 06:10:00,TRANSIENT,causal_mode_v1,98,fit_and_advice,исключены данные с 2026-06-16 14:00:00 по 2026-06-17 06:10:00 по причине: переходный режим после пуска
2026-06-18 05:50:00,2026-06-18 12:50:00,TRANSIENT,causal_mode_v1,43,fit_and_advice,исключены данные с 2026-06-18 05:50:00 по 2026-06-18 12:50:00 по причине: переходный режим после пуска
2026-06-18 11:50:00,2026-07-06 11:20:00,PAK_FLATLINE,causal_run_length,2590,pak_measurement,исключены данные с 2026-06-18 11:50:00 по 2026-07-06 11:20:00 по причине: зависание поточного анализатора (флэтлайн)
2026-06-18 13:00:00,2026-06-19 01:10:00,SHUTDOWN,causal_mode_v1,74,fit_and_advice,исключены данные с 2026-06-18 13:00:00 по 2026-06-19 01:10:00 по причине: установка остановлена (режим вне рабочего)
2026-06-19 01:20:00,2026-06-19 01:40:00,TRANSIENT,causal_mode_v1,3,fit_and_advice,исключены данные с 2026-06-19 01:20:00 по 2026-06-19 01:40:00 по причине: переходный режим после пуска
2026-06-19 01:50:00,2026-06-19 02:20:00,SHUTDOWN,causal_mode_v1,4,fit_and_advice,исключены данные с 2026-06-19 01:50:00 по 2026-06-19 02:20:00 по причине: установка остановлена (режим вне рабочего)
2026-06-19 02:30:00,2026-06-19 02:30:00,TRANSIENT,causal_mode_v1,1,fit_and_advice,исключены данные с 2026-06-19 02:30:00 по 2026-06-19 02:30:00 по причине: переходный режим после пуска
2026-06-19 02:40:00,2026-06-19 03:10:00,SHUTDOWN,causal_mode_v1,4,fit_and_advice,исключены данные с 2026-06-19 02:40:00 по 2026-06-19 03:10:00 по причине: установка остановлена (режим вне рабочего)
2026-06-19 03:20:00,2026-06-19 03:40:00,TRANSIENT,causal_mode_v1,3,fit_and_advice,исключены данные с 2026-06-19 03:20:00 по 2026-06-19 03:40:00 по причине: переходный режим после пуска
2026-06-19 03:50:00,2026-06-19 17:20:00,SHUTDOWN,causal_mode_v1,82,fit_and_advice,исключены данные с 2026-06-19 03:50:00 по 2026-06-19 17:20:00 по причине: установка остановлена (режим вне рабочего)
2026-06-19 17:30:00,2026-06-19 21:20:00,TRANSIENT,causal_mode_v1,24,fit_and_advice,исключены данные с 2026-06-19 17:30:00 по 2026-06-19 21:20:00 по причине: переходный режим после пуска
2026-06-19 21:30:00,2026-06-20 02:10:00,SHUTDOWN,causal_mode_v1,29,fit_and_advice,исключены данные с 2026-06-19 21:30:00 по 2026-06-20 02:10:00 по причине: установка остановлена (режим вне рабочего)
2026-06-20 02:20:00,2026-06-20 14:30:00,TRANSIENT,causal_mode_v1,74,fit_and_advice,исключены данные с 2026-06-20 02:20:00 по 2026-06-20 14:30:00 по причине: переходный режим после пуска
2026-06-20 14:40:00,2026-06-20 14:40:00,SENSOR_FAULT:ht:P3,causal_mode_v1,1,fit_and_advice,исключены данные с 2026-06-20 14:40:00 по 2026-06-20 14:40:00 по причине: отказ датчика давления ht:P3
2026-06-20 14:50:00,2026-06-21 10:10:00,TRANSIENT,causal_mode_v1,117,fit_and_advice,исключены данные с 2026-06-20 14:50:00 по 2026-06-21 10:10:00 по причине: переходный режим после пуска
2026-06-21 10:20:00,2026-06-30 14:20:00,SHUTDOWN,causal_mode_v1,1321,fit_and_advice,исключены данные с 2026-06-21 10:20:00 по 2026-06-30 14:20:00 по причине: установка остановлена (режим вне рабочего)
2026-06-30 14:30:00,2026-07-02 15:30:00,TRANSIENT,causal_mode_v1,295,fit_and_advice,исключены данные с 2026-06-30 14:30:00 по 2026-07-02 15:30:00 по причине: переходный режим после пуска
2026-07-21 00:30:00,2026-07-21 11:10:00,PAK_FLATLINE,causal_run_length,65,pak_measurement,исключены данные с 2026-07-21 00:30:00 по 2026-07-21 11:10:00 по причине: зависание поточного анализатора (флэтлайн)
